decision,relative_path,ext,chronology_signal_strength,signal_score,internal_signals
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/HENRY/HENRY APP WF.txt,.txt,high,12,content_phase:v1 | content_phase:v2 | content_phase:v3 | content_phase:PHASE 0 | content_phase:V0 | content_phase:PHASE 1
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/HENRY/HENRY APP.txt,.txt,high,12,content_phase:v1 | content_phase:v2 | content_phase:v3 | content_phase:PHASE 0 | content_phase:V0 | content_phase:PHASE 1
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/HENRY/HENRY WK SocialStudies.txt,.txt,high,8,content_phase:PHASE 0 | content_phase:V0 | content_phase:PHASE 1 | content_phase:V1
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/HENRY/HENRY WF Sum.txt,.txt,high,6,content_phase:Phase 1 | content_phase:Phase 2 | content_phase:Phase 3
take-into-timeline,RECURSO/METAMETADATA/ai_governance_deliverables_package/06_Versioned_Packet_and_Change_Log.md,.md,high,6,content_phase:v1 | content_phase:v2 | content_phase:v3
take-into-timeline,RECURSO/METAMETADATA/ai_governance_deliverables_package/05_Alignment_Gate_Package.md,.md,medium,4,content_phase:Phase 1 | content_phase:Phase 2
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/DOC 3.txt,.txt,low,2,content_phase:PHASE 1
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/DOC 3_cleaned.txt,.txt,low,2,content_phase:Phase 1
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/DOC0.txt,.txt,low,2,content_phase:LAYER 0
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/DOC0_cleaned.txt,.txt,low,2,content_phase:Phase 1
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/doc 1_cleaned.txt,.txt,low,2,content_phase:Phase 1
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/doc 2_cleaned.txt,.txt,low,2,content_phase:Phase 2
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/HENRY/HENRY Voice Spec v3 OFFICIAL (2).pdf,.pdf,low,2,path_phase:v3
take-into-timeline,RECURSO/METAMETADATA/ai_governance_deliverables_package/00_README.md,.md,low,2,content_phase:v1
take-into-timeline,RECURSO/METAMETADATA/ai_governance_deliverables_package/19_Sample_Decision_Packet.md,.md,low,2,content_phase:v1
take-into-timeline,RECURSO/METAMETADATA/ai_governance_deliverables_package/contracts/README.md,.md,low,2,content_phase:v1
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/12-agent-cleaning-pass.txt,.txt,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/7-reviewer-protocol-debate.txt,.txt,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/7-subagent-expansion-pass.txt,.txt,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/DOC 0.0 NOTES PX3 Explainer.txt,.txt,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/DOC 0.0 NOTES PX3 Explainer_cleaned.txt,.txt,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/Doc4.txt,.txt,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/MAIN EXPLAIN.txt,.txt,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/MAIN EXPLAIN_cleaned.txt,.txt,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/MASTER_KEY.docx,.docx,low,0,
