bucket,decision,score,relative_path,absolute_path,ext,size_bytes,reasons
A,take-into-timeline,10,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/MASTER_KEY.docx,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/MASTER_KEY.docx,.docx,50320,anchor-term:recurso|source-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,10,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/RECURSO-DRAFT1 (1) (1).docx,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/RECURSO-DRAFT1 (1) (1).docx,.docx,31595,anchor-term:draft|source-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,10,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/RECURSO-DRAFT1 (1) (2).docx,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/RECURSO-DRAFT1 (1) (2).docx,.docx,31595,anchor-term:draft|source-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,10,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/RECURSO-DRAFT1 (1).docx,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/RECURSO-DRAFT1 (1).docx,.docx,17838,anchor-term:draft|source-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,10,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/RECURSO-DRAFT1-FULL-INTEGRATION.docx,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/RECURSO-DRAFT1-FULL-INTEGRATION.docx,.docx,18580,anchor-term:draft|source-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,10,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/RECURSO-DRAFT1.docx,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/RECURSO-DRAFT1.docx,.docx,18397,anchor-term:draft|source-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,10,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/RECURSO-DRAFT1_intro-lit-review-revised.docx,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/RECURSO-DRAFT1_intro-lit-review-revised.docx,.docx,18236,anchor-term:draft|source-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,10,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/pack 1-2-3/Algorithmic management in the workplace (EN).pdf,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/pack 1-2-3/Algorithmic management in the workplace (EN).pdf,.pdf,23730591,anchor-term:recurso|source-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,10,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/pack 1-2-3/Queer_Experiences_of_Religion_How_Marginalization_.pdf,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/pack 1-2-3/Queer_Experiences_of_Religion_How_Marginalization_.pdf,.pdf,1314024,anchor-term:recurso|source-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,10,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/pack 1-2-3/Queer_Methods_and_Methodologies.pdf,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/pack 1-2-3/Queer_Methods_and_Methodologies.pdf,.pdf,806581,anchor-term:method|source-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,10,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/pack 1-2-3/Stuttering Machines_ Algorithmic Dysfluency and the Ethics of Interruption.docx,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/pack 1-2-3/Stuttering Machines_ Algorithmic Dysfluency and the Ethics of Interruption.docx,.docx,31321,anchor-term:recurso|source-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,10,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/pack 1-2-3/mythe_de_sisyphe.pdf,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/pack 1-2-3/mythe_de_sisyphe.pdf,.pdf,411688,anchor-term:recurso|source-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,10,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/recurso (1).docx,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/recurso (1).docx,.docx,41042,anchor-term:recurso|source-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,10,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/recurso (1)_cleaned.docx,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/recurso (1)_cleaned.docx,.docx,265371,anchor-term:recurso|source-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,10,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/recurso (1)_completed_clean.docx,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/recurso (1)_completed_clean.docx,.docx,49156,anchor-term:recurso|source-format|source-path:RAW RECURSIVE DATA/RECURSUS
